Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord,Armaturenbrett,Панель приборов,Gösterge Paneli,डैशबोर्ड,ڈیش بورڈ,仪表板,Dashboard
Language,Language,Idioma,لغة,Langue,Sprache,Язык,Dil,भाषा,زبان,语言,Asụsụ
Information,Information,Información,معلومة,Information,Information,Информация,Bilgi,जानकारी,معلومات,信息,Ozi
Language Information,Language Information,Información de idioma,معلومات اللغة,Informations linguistiques,Sprachinformationen,Информация о языке,Dil Bilgisi,भाषा संबंधी जानकारी,زبان کی معلومات,语言信息,Ozi Asụsụ
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues,Sprachmanager,Языковой менеджер,Dil Yöneticisi,भाषा प्रबंधक,لینگویج مینیجر,语言经理,Onye njikwa asụsụ
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !,Sprache erfolgreich erstellt!,Язык успешно создан!,Dil başarıyla oluşturuldu!,भाषा सफलतापूर्वक बनाई गई!,زبان کامیابی کے ساتھ بنائی گئی!,语言创建成功！,Emepụtara asụsụ nke ọma!
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtuvo correctamente!,تم جلب الإعدادات الأساسية بنجاح!,Les paramètres de base ont été récupérés avec succès !,Grundeinstellungen erfolgreich abgerufen!,Основные настройки успешно загружены!,Temel ayarlar başarıyla getirildi!,बुनियादी सेटिंग्स सफलतापूर्वक प्राप्त हुईं!,بنیادی ترتیبات کامیابی کے ساتھ بازیافت کریں!,基本设置获取成功！,Nweta ntọala ntọala nke ọma!
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! No autenticado,تم الرفض! غير مصادق عليه,Accès refusé! Non authentifié,Zugriff abgelehnt! Nicht authentifiziert,Доступ запрещен! Неаутентифицированный,Erişim engellendi! Kimliği doğrulanmamış,पहुंच अस्वीकृत! अपुष्ट,رسائی مسترد کر دی! غیر مستند,拒绝访问！未经身份验证,Ajụrụ nnweta! Achọpụtaghị ya
Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Código de verificación enviado exitosamente a tu correo. Por favor revise su bandeja de entrada/spam para verificar,تم إرسال رمز التحقق بنجاح إلى بريدك. يرجى التحقق من صندوق البريد الوارد/البريد العشوائي للتحقق,Code de vérification envoyé avec succès à votre courrier. Veuillez vérifier votre boîte de réception/spam pour vérifier,Der Bestätigungscode wurde erfolgreich an Ihre E-Mail gesendet. Bitte überprüfen Sie zur Verifizierung Ihren E-Mail-Posteingang/Spam,"Код подтверждения успешно отправлен на вашу почту. Пожалуйста, проверьте свой почтовый ящик/спам, чтобы убедиться",Doğrulama kodu başarıyla postanıza gönderildi. Lütfen doğrulamak için posta gelen kutunuzu/spam'inizi kontrol edin,सत्यापन कोड आपके मेल पर सफलतापूर्वक भेज दिया गया। सत्यापित करने के लिए कृपया अपना मेल इनबॉक्स/स्पैम जांचें,توثیقی کوڈ آپ کے میل پر کامیابی سے بھیج دیا گیا۔ تصدیق کے لیے براہ کرم اپنا میل ان باکس/سپیم چیک کریں۔,验证码已成功发送至您的邮箱。请检查您的邮件收件箱/垃圾邮件以进行验证,Ezitere koodu nkwenye nke ọma na ozi gị. Biko lelee igbe mbata/spam ozi gị iji chọpụta
Verification code resend successfully!,Verification code resend successfully!,¡El código de verificación se reenvía exitosamente!,تم إعادة إرسال رمز التحقق بنجاح!,Le code de vérification a été renvoyé avec succès !,Bestätigungscode erfolgreich erneut gesendet!,Код подтверждения успешно отправлен!,Doğrulama kodu başarıyla yeniden gönderildi!,सत्यापन कोड सफलतापूर्वक पुनः भेजा गया!,توثیقی کوڈ کامیابی کے ساتھ دوبارہ بھیجا گیا!,验证码重发成功！,E zipụrụ koodu nkwenye nke ọma!
